"weight";"word"
"196";"edg"
"1";"contemplation"
"0";"thinking"
"0";"busy"
"0";"promise"
"0";"writes"
"1";"succeed"
"1";"unhappily"
"2";"unnaturalness"
"2";"parent"
"1";"dearth"
"2";"dissolutions"
"0";"ancient"
"1";"amities"
"2";"menaces"
"2";"maledictions"
"4";"nobles"
"2";"needless"
"2";"diffidences"
"0";"friends"
"2";"dissipation"
"2";"cohorts"
"0";"nuptial"
"1";"breaches"
"2";"sectary"
"2";"astronomical"
"0";"spake"
"0";"hours"
"0";"terms"
"4";"countenance"
"0";"bethink"
"0";"offended"
"1";"entreaty"
"0";"presence"
"2";"qualified"
"0";"instant"
"2";"rageth"
"0";"mischief"
"0";"person"
"4";"scarcely"
"2";"allay"
"0";"wrong"
"1";"continent"
"2";"forbearance"
"0";"rage"
"2";"slower"
"0";"retire"
"0";"lodging"
"1";"key"
"0";"stir"
"0";"arm"
"0";"advise"
"0";"meaning"
"0";"told"
"0";"faintly"
"3";"image"
"2";"horror"
"0";"anon"
"0";"serve"
"1";"credulous"
"6";"harms"
"1";"suspects"
"0";"foolish"
"0";"practices"
"10";"ride"
"0";"easy"
"0";"birth"
"1";"lands"
"0";"wit"
"0";"fashion"
"2";"iii"
"0";"strike"
"1";"chiding"
"76";"osw"
"3";"wrongs"
"1";"flashes"
"0";"gross"
"1";"crime"
"0";"sets"
"0";"odds"
"0";"endure"
"4";"riotous"
"1";"upbraids"
"1";"trifle"
"2";"returns"
"0";"hunting"
"0";"slack"
"8";"horns"
"0";"weary"
"0";"negligence"
"0";"fellows"
"0";"question"
"1";"distaste"
"2";"overrul"
"1";"authorities"
"1";"babes"
"1";"checks"
"2";"flatteries"
"2";"abus"
"4";"colder"
"0";"grows"
"0";"occasions"
"0";"straight"
"0";"prepare"
"2";"dinner"
"6";"disguised"
"2";"accents"
"0";"borrow"
"2";"defuse"
"2";"raz"
"0";"likeness"
"0";"canst"
"4";"condemn"
"2";"labours"
"0";"stay"
"0";"jot"
"3";"ready"
"1";"attendant"
"0";"trust"
"0";"wise"
"0";"fight"
"0";"choose"
"1";"eat"
"0";"fish"
"1";"subject"
"0";"counsel"
"1";"curious"
"0";"tale"
"1";"telling"
"0";"deliver"
"0";"plain"
"1";"message"
"2";"bluntly"
"2";"ordinary"
"0";"men"
"2";"diligence"
"0";"woman"
"2";"singing"
"1";"dote"
"0";"shalt"
"2";"clotpoll"
"3";"knight"
"6";"mongrel"
"0";"slave"
"1";"answered"
"2";"roundest"
"2";"entertain"
"2";"ceremonious"
"0";"wont"
"2";"abatement"
"3";"kindness"
"0";"general"
"4";"dependants"
"2";"mistaken"
"2";"rememb"
"0";"conception"
"2";"perceived"
"1";"faint"
"2";"blamed"
