"weight";"word"
"6";"ottomites"
"0";"gracious"
"2";"steering"
"14";"isle"
"2";"injointed"
"2";"guess"
"4";"sail"
"2";"stem"
"0";"frank"
"0";"trusty"
"0";"valiant"
"2";"servitor"
"2";"recommends"
"4";"prays"
"2";"marcus"
"2";"luccicos"
"0";"town"
"2";"florence"
"0";"write"
"8";"despatch"
"1";"employ"
"0";"enemy"
"2";"ottoman"
"0";"counsel"
"0";"grace"
"0";"pardon"
"0";"aught"
"0";"bed"
"1";"care"
"0";"grief"
"1";"flood"
"0";"gate"
"2";"erbearing"
"0";"nature"
"2";"engluts"
"1";"swallows"
"0";"sorrows"
"0";"dead"
"1";"stol"
"0";"corrupted"
"2";"spells"
"2";"medicines"
"0";"bought"
"2";"mountebanks"
"2";"preposterously"
"2";"err"
"1";"deficient"
"0";"blind"
"2";"lame"
"1";"sans"
"4";"witchcraft"
"1";"whoe"
"0";"proceeding"
"2";"beguiled"
"0";"bloody"
"0";"book"
"0";"yea"
"2";"proper"
"0";"son"
"2";"humbly"
"2";"mandate"
"2";"affairs"
"0";"brought"
"2";"potent"
"2";"signiors"
"6";"approv"
"0";"head"
"2";"offending"
"1";"extent"
"0";"rude"
"0";"speech"
"0";"soft"
"0";"phrase"
"0";"peace"
"0";"arms"
"1";"pith"
"0";"moons"
"4";"wasted"
"0";"dearest"
"2";"tented"
"2";"pertains"
"1";"feats"
"2";"broil"
"4";"speaking"
"2";"unvarnish"
"0";"tale"
"0";"deliver"
"0";"conjuration"
"0";"mighty"
"0";"withal"
"0";"won"
"0";"maiden"
"0";"blush"
"0";"country"
"0";"fall"
"4";"maim"
"1";"imperfect"
"0";"confess"
"2";"perfection"
"4";"rules"
"2";"driven"
"0";"practices"
"0";"cunning"
"1";"vouch"
"2";"mixtures"
"2";"powerful"
"0";"dram"
"2";"conjur"
"1";"wrought"
"2";"wider"
"2";"overt"
"1";"test"
"1";"habits"
"0";"poor"
"2";"likelihoods"
"1";"modern"
"2";"prefer"
"2";"indirect"
"1";"forced"
"2";"courses"
"0";"young"
"0";"affections"
"0";"request"
"2";"affordeth"
"0";"send"
"0";"lady"
"0";"office"
"1";"sentence"
"1";"conduct"
"1";"vices"
"0";"justly"
"0";"ears"
"2";"lov"
"2";"invited"
"1";"story"
"0";"year"
"1";"battles"
"2";"sieges"
"0";"pass"
"2";"boyish"
"0";"days"
"0";"moment"
"2";"bade"
"0";"spake"
"2";"disastrous"
"0";"chances"
"2";"moving"
"0";"accidents"
"0";"hair"
"1";"breadth"
"1";"scapes"
"1";"imminent"
"0";"deadly"
"0";"breach"
"1";"insolent"
"0";"foe"
"0";"sold"
"2";"slavery"
"2";"redemption"
"2";"portance"
"2";"travels"
"0";"history"
"2";"antres"
"1";"vast"
"2";"deserts"
"0";"rough"
"2";"quarries"
"2";"rocks"
"2";"hills"
"0";"heads"
"0";"touch"
"4";"hint"
"1";"process"
"2";"cannibals"
"0";"eat"
"2";"anthropophagi"
"0";"grow"
"0";"beneath"
"2";"shoulders"
"1";"incline"
"2";"greedy"
"0";"ear"
"1";"devour"
"4";"discourse"
"2";"observing"
"2";"pliant"
"0";"hour"
"1";"prayer"
"0";"earnest"
"0";"pilgrimage"
"2";"dilate"
"1";"whereof"
"2";"parcels"
"2";"intentively"
"1";"beguile"
"0";"tears"
"2";"distressful"
"0";"stroke"
"0";"suffer"
"0";"sighs"
"0";"swore"
"0";"strange"
"0";"passing"
"0";"pitiful"
"0";"wondrous"
"0";"friend"
"0";"teach"
"1";"woo"
"4";"dangers"
"0";"pity"
"1";"witness"
"2";"win"
"2";"mangled"
"0";"broken"
"0";"bare"
"2";"wooer"
"2";"destruction"
"0";"blame"
"2";"perceive"
"0";"company"
"0";"obedience"
"0";"divided"
"4";"education"
"0";"learn"
"0";"respect"
"0";"lord"
"1";"hitherto"
"0";"husband"
"0";"mother"
"2";"preferring"
"0";"challenge"
"2";"adopt"
"0";"child"
"1";"sake"
"0";"jewel"
"0";"glad"
"0";"escape"
"1";"tyranny"
"0";"hang"
"2";"clogs"
"2";"grise"
"0";"step"
"2";"lovers"
"2";"favour"
"0";"remedies"
"0";"griefs"
"0";"ended"
"0";"worst"
"0";"late"
"2";"hopes"
"2";"depended"
"1";"mourn"
"0";"mischief"
"1";"preserved"
"1";"takes"
"6";"injury"
"1";"mockery"
"0";"smiles"
"1";"steals"
"4";"robs"
"2";"spends"
"1";"bootless"
"0";"smile"
"0";"bears"
"0";"comfort"
"0";"hears"
"0";"sorrow"
